Questions,Answers,,
What is Artificial Intelligence?,Artificial Intelligence is an area of computer science that emphasizes the creation of intelligent machine that work and reacts like humans.,,
What is an artificial intelligence Neural Networks?,"Artificial intelligence Neural Networks can model mathematically the way biological brain works, allowing the machine to think and learn the same way the humans do- making them capable of recognizing things like speech, objects and animals like we do.",,
Give an explanation on the difference between strong AI and weak AI?,Strong AI makes strong claims that computers can be made to think on a level equal to humans while weak AI simply predicts that some features that are resembling to human intelligence can be incorporated to computer to make it more useful tools.,,
Mention the difference between statistical AI and Classical AI ?,"Statistical AI is more concerned with “inductive” thought like given a set of pattern, induce the trend etc.  While, classical AI, on the other hand, is more concerned with “ deductive” thought given as a set of constraints, deduce a conclusion etc.",,
 Which is the best way to go for Game playing problem?,"Heuristic approach is the best way to go for game playing problem, as it will use the technique based on intelligent guesswork. For example, Chess between humans and computers as it will use brute force computation, looking at hundreds of thousands of positions.",,
How is Machine Learning related to Artificial Intelligence?,"Artificial Intelligence is a technique that enables machines to mimic human behavior. Whereas, Machine Learning is a subset of Artificial Intelligence. It is the science of getting computers to act by feeding them data and letting them learn a few tricks on their own, without being explicitly programmed to do so",,
What is Q-Learning?,The Q-learning is a Reinforcement Learning algorithm in which an agent tries to learn the optimal policy from its past experiences with the environment. The past experiences of an agent are a sequence of state-action-rewards:,,
What is Deep Learning?,Deep learning imitates the way our brain works i.e. it learns from experiences. It uses the concepts of neural networks to solve complex problems.,,
 What are Bayesian Networks?," Bayesian network is a statistical model that represents a set of variables and their conditional dependencies in the form of a directed acyclic graph. On the occurrence of an event, Bayesian Networks can be used to predict the likelihood that any one of several possible known causes was the contributing factor.  For example, a Bayesian network could be used to study the relationship between diseases and symptoms. Given various symptoms, the Bayesian network is ideal for computing the probabilities of the presence of various diseases.",,
 Explain the assessment that is used to test the intelligence of a machine.,"In artificial intelligence (AI), a Turing Test is a method of inquiry for determining whether or not a computer is capable of thinking like a human being.",,
Explain reward maximization in Reinforcement Learning.,"The RL agent works based on the theory of reward maximization. This is exactly why the RL agent must be trained in such a way that, he takes the best action so that the reward is maximum.",,
What is exploitation and exploration trade-off?,"An important concept in reinforcement learning is the exploration and exploitation trade-off. Exploration, like the name suggests, is about exploring and capturing more information about an environment. On the other hand, exploitation is about using the already known exploited information to heighten the rewards.Consider the fox and tiger example, where the fox eats only the meat (small) chunks close to him but he doesn’t eat the bigger meat chunks at the top, even though the bigger meat chunks would get him more rewards. If the fox only focuses on the closest reward, he will never reach the big chunks of meat, this is called exploitation. But if the fox decides to explore a bit, it can find the bigger reward i.e. the big chunk of meat. This is exploration.",,
What are hyperparameters in Deep Neural Networks?,"Hyperparameters are variables that define the structure of the network. For example, variables such as the learning rate, define how the network is trained. They are used to define the number of hidden layers that must be present in a network. More hidden units can increase the accuracy of the network, whereas a lesser number of units may cause underfitting.",,
How does data overfitting occur,Overfitting occurs when a statistical model or machine learning algorithm captures the noise of the data. This causes an algorithm to show low bias but high variance in the outcome. ,,
Mention a technique that helps to avoid overfitting in a neural network.,Dropout is a type of regularization technique used to avoid overfitting in a neural network. It is a technique where randomly selected neurons are dropped during training. The Dropout value of a network must be chosen wisely. A value too low will result in a minimal effect and a value too high results in under-learning by the network.,,
" What is Data Science?
",,,"Data Science is  a  field  of  computer science that  explicitly deals  with  turning data  into information and extracting meaningful insights out of it. The reason why Data Science is so popular is that the kind of insights it allows us to draw from the available data has led to some major innovations in several products and companies. Using these insights, we are  able  to  determine  the  taste  of  a  particular  customer,  the  likelihood  of  a  product succeeding in a market."
Differentiate between Data Analytics and Data Science,,,"Data Analytics is a subset of Data Science. The goal of data analytics is to illustrate the precise details of retrieved insights. It requires just basic programming languages. It 
order to make decisions. It focuses on just finding the solutions. Data Science is a broad technology that includes various subsets such as Data Analytics, Data Mining, Data Visualization, etc. The goal of data science is to discover meaningful insights from massive dataset s and derive the best possible solutions to
resolve business issues. Requires knowledge in advanced programming languages. Data Science not only focuses on finding the solutions but also predicts the future with
past patterns or insights. A data scientist’s job is to provide insightful data visualizations from raw data that are easily understandable."
"What do you understand about linear regression?
",,,"Linear regression helps in understanding the linear relationship between the dependent and the independent variables. Linear regression is a supervised learning algorithm, which helps in finding the linear relationship between two variables. One is the predictor or the independent variable and the other is the response or the dependent variable. In Linear Regression,   we   try   to   understand   how  the   dependent   variable   changes   w.r.t   the independent variable. If there is only one independent variable, then it is called simple linear regression, and if there is more than one independent variable then it is known as"
What do you understand by logistic regression?,,,"
Logistic  regression is  a  classification  algorithm  that  can  be  used  when  the  dependent variable is binary. Let’s take an example. Here, we are trying to determine whether it will rain or not based on temperature and humidity."
What is Stemming & Lemmatization in NLP?,"Stemming algorithms work by cutting off the end or the beginning of the word, taking into account a list of common prefixes and suffixes that can be found in an inflected word. This indiscriminate cutting can be successful on some occasions, but not always. Lemmatization, on the other hand, takes into consideration the morphological analysis of the words. To do so, it is necessary to have detailed dictionaries which the algorithm can look through to link the form back to its lemma.

",,
