Questions,Answers
what is artificial intelligence,artificial intelligence is an area of computer science that emphasizes the creation of intelligent machine that work and reacts like humans
what is an artificial intelligence neural networks,artificial intelligence neural networks can model mathematically the way biological brain works allowing the machine to think and learn the same way the humans do making them capable of recognizing things like speech objects and animals like we do
give an explanation on the difference between strong ai and weak ai,strong ai makes strong claims that computers can be made to think on a level equal to humans while weak ai simply predicts that some features that are resembling to human intelligence can be incorporated to computer to make it more useful tools
mention the difference between statistical ai and classical ai,statistical ai is more concerned with inductive thought like given a set of pattern induce the trend etc while classical ai on the other hand is more concerned with deductive thought given as a set of constraints deduce a conclusion etc
which is the best way to go for game playing problem,heuristic approach is the best way to go for game playing problem as it will use the technique based on intelligent guesswork for example chess between humans and computers as it will use brute force computation looking at hundreds of thousands of positions
how is machine learning related to artificial intelligence,artificial intelligence is a technique that enables machines to mimic human behavior whereas machine learning is a subset of artificial intelligence it is the science of getting computers to act by feeding them data and letting them learn a few tricks on their own without being explicitly programmed to do so
what is qlearning,the qlearning is a reinforcement learning algorithm in which an agent tries to learn the optimal policy from its past experiences with the environment the past experiences of an agent are a sequence of stateactionrewards
what is deep learning,deep learning imitates the way our brain works ie it learns from experiences it uses the concepts of neural networks to solve complex problems
what are bayesian networks,bayesian network is a statistical model that represents a set of variables and their conditional dependencies in the form of a directed acyclic graph on the occurrence of an event bayesian networks can be used to predict the likelihood that any one of several possible known causes was the contributing factor for example a bayesian network could be used to study the relationship between diseases and symptoms given various symptoms the bayesian network is ideal for computing the probabilities of the presence of various diseases
explain the assessment that is used to test the intelligence of a machine,in artificial intelligence ai a turing test is a method of inquiry for determining whether or not a computer is capable of thinking like a human being
explain reward maximization in reinforcement learning,the rl agent works based on the theory of reward maximization this is exactly why the rl agent must be trained in such a way that he takes the best action so that the reward is maximum
what is exploitation and exploration tradeoff,an important concept in reinforcement learning is the exploration and exploitation tradeoff exploration like the name suggests is about exploring and capturing more information about an environment on the other hand exploitation is about using the already known exploited information to heighten the rewardsconsider the fox and tiger example where the fox eats only the meat small chunks close to him but he doesnt eat the bigger meat chunks at the top even though the bigger meat chunks would get him more rewards if the fox only focuses on the closest reward he will never reach the big chunks of meat this is called exploitation but if the fox decides to explore a bit it can find the bigger reward ie the big chunk of meat this is exploration
what are hyperparameters in deep neural networks,hyperparameters are variables that define the structure of the network for example variables such as the learning rate define how the network is trained they are used to define the number of hidden layers that must be present in a network more hidden units can increase the accuracy of the network whereas a lesser number of units may cause underfitting
how does data overfitting occur,overfitting occurs when a statistical model or machine learning algorithm captures the noise of the data this causes an algorithm to show low bias but high variance in the outcome
mention a technique that helps to avoid overfitting in a neural network,dropout is a type of regularization technique used to avoid overfitting in a neural network it is a technique where randomly selected neurons are dropped during training the dropout value of a network must be chosen wisely a value too low will result in a minimal effect and a value too high results in underlearning by the network
what is stemming lemmatization in nlp,stemming algorithms work by cutting off the end or the beginning of the word taking into account a list of common prefixes and suffixes that can be found in an inflected word this indiscriminate cutting can be successful on some occasions but not always lemmatization on the other hand takes into consideration the morphological analysis of the words to do so it is necessary to have detailed dictionaries which the algorithm can look through to link the form back to its lemma
how is computer vision and ai related,computer vision is a field of artificial intelligence that is used to obtain information from images or multidimensional data machine learning algorithms such as kmeans is used for image segmentation support vector machine is used for image classification and so on therefore computer vision makes use of ai technologies to solve complex problems such as object detection image processing etc
which is better for image classification supervised or unsupervised classification justify,in supervised classification the images are manually fed and interpreted by the machine learning expert to create feature classes
finite difference filters in image processing are very susceptible to noise to cope up with this which method can you use so that there would be minimal distortions by noise,image smoothing is one of the best methods used for reducing noise by forcing pixels to be more like their neighbors this reduces any distortions caused by contrasts
how is game theory and ai related,in the context of artificial intelligenceai and deep learning systems game theory is essential to enable some of the key capabilities required in multiagent environments in which different ai programs need to interact or compete in order to accomplish a goal
what is generality in ai,generality is the measure of ease with which the method can be adapted to different domains of application
what is a topdown parser,a topdown parser begins by hypothesizing a sentence and successively predicting lower level constituents until individual preterminal symbols are written
mention the difference between breadth first search and best first search in artificial intelligence,these are the two strategies which are quite similar in best first search we expand the nodes in accordance with the evaluation function while in breadth first search a node is expanded in accordance to the cost function of the parent node
what are frames and scripts in artificial intelligence,frames are a variant of semantic networks which is one of the popular ways of presenting nonprocedural knowledge in an expert system a frame which is an artificial data structure is used to divide knowledge into substructure by representing stereotyped situations scripts are similar to frames except the values that fill the slots must be ordered scripts are used in natural language understanding systems to organize a knowledge base in terms of the situation that the system should understand
what is fopl stands for and explain its role in artificial intelligence,fopl stands for first order predicate logic predicate logic provides a language to express assertions about certain world an inference system to deductive apparatus whereby we may draw conclusions from such assertion a semantic based on set theory
for online search in artificial intelligence which search agent operates by interleaving computation and action,in online search it will first take action and then observes the environment
which search algorithm will use a limited amount of memory in online search,rbfe and sma will solve any kind of problem that a cant by using a limited amount of memory
in artificial intelligence where you can use the bayes rule,in artificial intelligence to answer the probabilistic queries conditioned on one piece of evidence bayes rule can be used
for building a bayes model how many terms are required,for building a bayes model in ai three terms are required they are one conditional probability and two unconditional probability
